Agitated	Agitado
Seemed a harmless little fuck	Parecia uma sacanagem inofensiva
Oh, but we unleashed a lion	Oh, mas nós libertamos um leão
Gnashed his teeth and bit the recess lady's breast, how could I forget?	Que rangeu os dentes e mordeu os seios da menina na hora do intervalo, como eu poderia esquecer?
And he hit me with a surprise left	E me acertou com um soco de esquerda de surpresa
My jaw left hurting, oh, dropped wide open	Meu maxilar ficou machucado, oh, deslocado e aberto
Just like the day	Assim como no dia
Oh, like the day I heard	Oh, como o dia em que ouvi
Daddy didn't give affection, no	Papai não dava afeto, não
And the boy was something that mommy wouldn't wear	E o garoto era algo que mamãe não aceitaria
King Jeremy, the wicked	Rei Jeremy, o perverso
Oh, ruled his world	Oh, governou seu mundo
Jeremy spoke in class today	Jeremy falou na aula de hoje
Jeremy spoke in class today	Jeremy falou na aula de hoje
Jeremy spoke in class today	Jeremy falou na aula de hoje
Try to forget this (try to forget this)	Tente esquecer isso (tente esquecer isso)
Try to erase this (try to erase this)	Tente apagar isso (tente apagar isso)
From the blackboard	Do quadro negro
Jeremy spoke in class today	Jeremy falou na aula de hoje
Jeremy spoke in class today	Jeremy falou na aula de hoje
Jeremy spoke in, spoke in	Jeremy falou, falou
Jeremy spoke in, spoke in	Jeremy falou, falou
Jeremy spoke in class today	Jeremy falou na aula de hoje
(Spoke in, spoke in, spoke in)	(Falou, falou, falou)
Inside Job	Trabalho Interno
Underneath this smile lies everything	Por trás desse sorriso está tudo
All my hopes and anger, pride and shame	Todas as minhas esperanças, raiva, orgulho e vergonha
Make myself a pact, not to shut doors on the past	Faço um pacto comigo, não fechar as portas do passado
Just for today I am free	Apenas por hoje eu estou livre
I will not lose my faith	Eu não perderei minha fé
It's an inside job today	É um trabalho interno hoje
I know this one thing well	Eu conheço isso muito bem
I used to try and kill love, it was the highest sin	Eu costumava tentar e matar o amor, isso foi o maior pecado
Breathing insecurity out and in	Respirando insegurança para fora e dentro
Searching hope, I'm shown the way to run straight	Procurando esperança, estou aprendendo o caminho pra correr em linha reta
Pursuing the greater way for all human light.	Buscando o melhor caminho para toda luz humana
How I choose to feel	Como eu escolho me sentir
Is how I am	É como eu sou
How I choose to feel	Como eu escolho me sentir
Is how I am	É como eu sou
I will not lose my faith	Eu não perderei minha fé
It's an inside job today	O hoje é um trabalho interno
Holding on, the light of night	Aguentando, a luz da noite
On my knees to rise and fix my broken soul	De joelhos para levantar e reparar minha alma quebrada
Again	De novo
Let me run into the rain	Deixe-me correr na chuva
To be a human light again	Para ser uma luz humana novamente
Let me run into the rain	Deixe-me correr na chuva
To shine a human light today	Para brilhar uma luz humana hoje
Life comes from within your heart and desire	A vida vem de dentro de seu coração e desejo
Insignificance	Insignificância
All in all, it`s no one's fault	Ao todo, não é culpa de ninguém
Excuses turn to carbon walls	Desculpas se transformam em paredes de carbono
Blame it all on chemical intercourse	Jogue toda a culpa nas relações químicas
The swallowed seeds of arrogance	As sementes da arrogância sendo digeridas
Breeding in the thoughts of ten	Germinando na cabeça de dez
Thousand fools who fight irrelevance	Mil tolos que lutam contra a irrelevância
The full moon is dead skin	A lua cheia é pele morta
The one down here`s wearing thin	A que está aqui embaixo está se esgotando
So set up the ten pins	Então prepare os alfinetes
As the human tide rolls in	Enquanto a maré humana vêm chegando
Like a ball that`s spinning	Como uma bola que esta girando
Bombs dropping down	Bombas caindo
Overhead, underground	Nas nossas cabeças, debaixo dos nossos pés
It's instilled, to wanna live	Está encucado, para querer viver
Bombs dropping down	Bombas caindo
Please, forgive our hometown	Por favor, perdoe nossa terra natal
In our insignificance	Em nossa insignificância
Turn the jukebox up, he said	Vire o jukebox, ele disse
Dancing in irreverence	Dançando na irreverência
Play C-3, let the song protest	Toque o C-3, deixe que a canção proteste
The plates begin to shift	As placas começam a mudar
Perfect lefts come rolling in	Saídas perfeitas vêm chegando
I was alone and far away	Eu estava sozinho e distante
When I heard the band start playing	Quando eu escutei a banda começando a tocar
On the lip, late take off	No discurso, tarde para ir embora
Bombs dropping down	Bombas caindo
Overhead, underground	Nas nossas cabeças, debaixo dos nossos pés
It's instilled, to wanna live	Está encucado, para querer viver
Bombs dropping down	Bombas caindo
Please, forgive our hometown	Por favor, perdoe nossa terra natal
In our insignificance	Em nossa insignificância
Feel like resonance of distance	Sinto como se fosse uma ressonância a distância
In the blood, the iron lies	No sangue, o ferro repousa
It's instilled, to wanna live	Está encucado, para querer viver
Bombs dropping down	Bombas caindo
Please forgive our hometown	Por favor, perdoe nossa terra natal
Just Breathe	Apenas Respire
Yes, I understand that every life must end, uh-huh	Sim, eu entendo que toda vida deve acabar, uh-huh
As we sit alone, I know someday we must go, uh-huh	Enquanto nos sentamos sozinhos, sei que algum dia nós também devemos ir, uh-huh
Oh, I'm a lucky man, to count on both hands the ones I love	Sim, eu sou um homem de sorte, por contar em ambas as mãos aqueles que amo
Some folks just have one, yeah, others, they've got none	Algumas pessoas só têm uma, sim, outras, não têm nenhuma
Stay with me	Fique comigo
Let's just breathe	Vamos apenas respirar
Practiced all my sins, never gonna let me win, uh-huh	Pratiquei todos os meus pecados, nunca me deixarão ganhar, uh-huh
Under everything, just another human being, uh-huh	Debaixo disso tudo, apenas outro ser humano, uh-huh
I don't wanna hurt, there's so much in this world to make me bleed	Eu não quero magoar, há tanto nesse mundo para me fazer sangrar
Stay with me	Fique comigo
You're all I see	Você é tudo o que vejo
Did I say that I need you?	Eu já te disse que preciso de você?
Did I say that I want you?	Eu já te disse que quero você?
Oh, if I didn't I'm a fool you see	Oh, se eu não disse, eu sou um tolo
No one knows this more than me	Ninguém sabe disso mais do que eu
As I come clean	Enquanto eu confesso
I wonder everyday, as I look upon your face, uh-huh	Me pergunto todo dia, enquanto observo seu rosto, uh-huh
Everything you gave	Tudo o que você deu
And nothing you would save, oh, no	E nada que você guardaria, oh, não
Nothing you would take	Nada que você levaria
Everything you gave	Tudo o que você deu
Did I say that I need you?	Eu já disse que preciso de você?
Oh, did I say that I want you?	Oh, eu já disse que quero você?
Oh, if I didn't I'm a fool you see	Oh, se eu não disse, então eu sou um tolo
No one knows this more than me	Ninguém sabe disso mais do que eu
As I come clean, ah	E eu confesso, ah
Nothing you would take	Nada que você levaria
Everything you gave	Tudo o que você deu
Johnny Guitar	Johnny Guitar
Johnny Guitar Watson Staring at me	Johnny Guitar Watson olhando para mim
Riding on 3 Wheels, a woman on his knee	Dirigindo em 3 rodas, uma mulher em seus joelhos
With a leg under a red dress i wish i could see	Com uma perna sob um vestido vermelho, eu gostaria de poder ver
further north a warmth alive and lingering.	Mais ao norte um calor vivo e persistente
Now Johnny he be having lots of women	Agora Johnny tem muitas mulheres
the reason e be smiling known to him	A razão pela qual ele seria conhecido sorrindo para ele
On the left the girl in red so innocent	À esquerda a garota de vermelho tão inocente
never sheds her clothes even when she goes to bed	Nunca desfaz-se de suas roupas nem quando vai dormir
The type of girl responsible foriginal sin	O tipo de garota responsável pelo pecado original
can't help but wonder where and who she is	Não pode ajudar, mas pergunta onde está e quem ela é
Oh and the memory's always getting clearer	Oh e a lembrança está sempre ficando mais clara
For that's 30 years or more I've loved her so	Nesses 30 anos ou mais que eu a amei
an how i need to know why she's with him	E como eu preciso saber porque ela está com ele
and I sleep with the light on in case she comes	E eu durmo com as luzes acesas, caso ela apareça
and I sleep with the light on in case she...	E eu durmo com as luzes acesas, caso ela...
Recently as I was waiting on a dream	Recentemente enquanto eu estava à espera de um sonho
she came to visit lost and lonely me	Ela veio me visitar perdida e solitária
She leaned over the bed and with her lips above my head	Oh ela inclinou-se sobre a cama com os lábios acima da minha cabeça
she asked if I had seen her Johnny	Ela perguntou se eu tinha visto seu Johnny
Oh and I hide my disappointment cause for years I have been hoping	Oh e eu escondo minha frustração, porque por anos eu tenho esperado
oh yeah I have been hoping that when she came that she would come for me	Oh yeah eu tenho esperado que quando ela viesse, que viesse para mim
Hey... hey...	Hey...hey...
I'll hide my disappointment cause for years I have been hoping	Eu esconderei minha frustração, porque por anos eu tenho esperado
that when she came she'd be coming just for me...	Que quando ela viesse, ela estaria vindo apenas por mim
I'll hide my disappointment cause for years I have been hoping	Eu esconderei minha frustração, porque por anos eu tenho esperado
that when she came she'd be coming just for me...ah yeah!	Que quando ela viesse, ela estaria vindo apenas por mim
Aw yeah!	Aw yeah!
Kick Out The Jams	Kick Out The Jams (Tradução)
Kick out the jams motherfuckers !	Ponham para quebrar a música improvisada FDPs !
Yeah! I, I, I, I, I'm gonna	Sim! eu, eu, eu, eu, eu estou indo
I'm gonna kick 'em out ! Yeah !	estou indo por para quebrar ! Sim !
Well i feel pretty good	Bem eu me sinto muito bem
And i guess that i could get crazy now baby	E eu acho que posso enlouquecer agora baby
Cause we all got in tune	Por que todos agora estão em sintonia
And when the dressing room got hazy now baby	E quando o vestiário ficar confuso agora baby
I know how you want it child	Eu sei como você quer isto criança
Hot, quick and tight	Quente, rápido e apertado
The girls can't stand it	As garotas não conseguem aguentar isto
When you're doin'it right	Quando você estiver fazendo certo
Let me up on the stand	Faça me ficar cansado de ficar em pé
And let me kick out the jam	E me deixe por para quebrar a música improvisada
Yes, kick out the jams	Sim, por para quebrar a música improvisada
I want to kick'em out !	Quero por para quebrar !
Yes i'm starting to sweat	Sim, estou começando a suar
You know my shirt's all wet	Você sabe que minha camiseta está toda molhada
What a feeling	Que sensação
In the sound that abounds	No som que abunda
And resounds and rebounds off the ceiling	e ressoa e repercute pelo teto
You gotta have it baby	Você tem que tê-la baby
You can't do without	Você não pode fazer sem ela
When you get that feeling	Quando você tem aquela sensação
You gotta sock'em out	Você tem que arremessá-la para fora
Put that mike in my hand	POnha aquele microfone na minha mão
And let me kick out the jam	E me deixe por para quebrar a música improvisada
Yes ! Kick out the jams	Sim, por para quebrar a música improvisada
I want to kick'em out	Quero por para quebrar !
( guitar )	( guitarra )
So you got to give it up	Então você tem que desistir
You know you can't get enough Miss Mackenzie	Você sabe que você não pode ter o bastante Srta. Mackenzie
Cause it gets in your brain	Por que isto vai entrar na sua mente
It drives you insane	Isto vai te deixar insana
With the frenzy	Com o frenesi
The wigglin guitars girl	A menina da guitara balançando
The crash of the drums	A batida da bateria
Make you wanna keep-a-rockin'	Faz você querer manter o ritmo
Till the morning comes	Até a manhã chegar
Let me be who i am	Deixe-me ser quem eu sou
And let me kick out the jam	E me deixe por para quebrar a música improvisada
Last Exit	Última Saída
Lives opened and trashed	Vidas nascidas e destruídas
Look ma, watch me crash	Olhe para mim, veja eu me ferrar
No time to question	Sem tempo para questionar
Why'd nothing last	Porque nada restou?
Grasp and hold on	Engasgue e segure-se
We're dying fast	Nós estamos morrendo rápido
Soon be over	Logo vai acabar
And I will relent	E então eu vou ceder
Let the ocean swell dissolve way my past	Deixe o oceano elevado dissolver o meu passado
Three days and maybe longer	Três dias e talvez um pouco mais
Won't even know I've left	Não vão nem notar que eu parti
Under your tongue I'm like a tab	Sob sua língua sou como uma lâmina
I will give you	Eu vou dar a você
What you're not supposed to have	O que você não deveria ter
Under my breath I swear by sin	Em voz baixa, eu juro por meus pecados
For better or for worse	Para melhor ou pior
A best we began	É melhor começarmos
Let the sun climb, oh burn way my mask	Deixe o sol subir, oh queimar a minha máscara
Three days and maybe longer	Três dias e talvez um pouco mais
Shed my skin at last	Finalmente soltar a minha pele
Shed, shed...	Soltar, soltar...
Let the sun shine burn way my mask	Deixe os raios do sol queimarem a minha máscara
Three days and maybe longer	Três dias e talvez um pouco mais
Won't ever find me here	Não vão me achar aqui
Let the ocean dissolve way my past	Deixe o oceano dissolver o meu passado
Four days and not much longer...	Quatro dias e não muito mais
Let my spirit pass. Ooh...	Deixe meu espírito passar. Ooh...
This is, this is	Esta é, esta é...
This is, this is	Esta é, esta é...
This is, this is	Esta é, esta é...
Last Kiss	Último Beijo
Oh where, oh where, can my baby be?	Oh onde, onde estará o meu amor?
The lord took her away from me	O Senhor tirou-a de mim
She's gone to heaven so I got to be good	Ela foi pro céu, então tenho que ser bonzinho
So I can see my baby when I leave this world	Assim eu poderei ver o meu amor quando deixar este mundo
We were out on a date in my daddy's car	Nós saímos para namorar no carro do meu pai
We hadn't driven very far	Não fomos muito longe
There in the road straight ahead	Lá na estrada, bem lá na frente
A car was stalled, the engine was dead	Um carro estava parado, o motor estava morto
I couldn't stop, so I swerved to the right	Não pude parar, então desviei pela direita
I'll never forget the sound that night	Nunca esquecerei o som daquela noite
The screaming tires, the busting glass	Pneus cantando, os vidros estourando
The painful scream that I heard last	O grito de dor que ouvi por último
Oh where, oh where, can my baby be?	Oh, onde? Onde estará o meu amor?
The lord took her away from me	O Senhor tirou-a de mim
She's gone to heaven so I've got to be good	Ela foi pro céu, então eu tenho que ser bonzinho
So I can see my baby when I leave this world	Assim eu poderei ver o meu amor quando deixar este mundo
When I woke up, the rain was pourin’ down	Quando acordei, a chuva caía
There were people standing all around	Havia muita gente em volta
Something warm rolling through my eyes	Algo quente escorreu pelos meus olhos
But somehow I found my baby that night	Mas, de alguma forma, encontrei meu amor naquela noite
I lifted her head, she looked at me and said	Levantei sua cabeça, ela me olhou e disse:
Hold me darlin’ just a little while	"Me abrace, querido, só por um tempo"
I held her close I kissed her - our last kiss	Eu a abracei forte e a beijei - nosso último beijo
I found the love that I knew I had miss	Encontrei o amor que sabia que havia perdido
Well now she's gone even though I hold her tight	Bem, agora ela se foi, mesmo tendo abraçado-a com força
I lost my love, my life that night	Perdi meu amor, minha vida, naquela noite
Oh where, oh where, can my baby be?	Oh, onde? Onde estará o meu amor?
The lord took her away from me	O senhor tirou-a de mim
Last Soldier	Last Soldier
my number's up, my time has come	Meu número foi chamado, minha hora chegou
sounds like they're playin' my song	Parece que estão tocando minha música
on the altar, my picture...	No altar, minha foto...
will be there while i'm gone	Estará la enquanto eu estiver ausente
there'll be time for laughin'	Haverá tempo para rir
there's no time to cry	Não há tempo para chorar
soon i will be leavin'	Em breve partirei
look me in the eye	Me olhe nos olhos
no matter what's in front of me	Não importa o que há a minha frente
it's your face that i'll see	O seu rosto é o que verei
and the future of our young ones	E o futuro de nossos jovens entes
yeah this is what fuels me	yeah isso é o que me abastece
there's no time for laughin'	Não há tempo para rir
there's no time to cry	Não há tempo para chorar
soon i will be leavin'	Em breve partirei
look me in the eye	Me olhe nos olhos
the oath i took not so seriously	O juramento que não levei tão a sério
the world's gathered steam and caught up with me	A energia coletada do mundo e levada comigo
and my decision's been made, from some other place	E minha decisão feita, de algum outro lugar
by someone i don't know and they don't know me	Por alguém que não conhece e não me conhece
this is no time for laughin'	Essa não é hora de rir
there's no time to cry	Não há tempo para chorar
Last Thing In Lost Dogs	Última Coisa Nos Cachorros Perdidos
So all you fools, who sing just like him	Então todos vocês, idiotas, que cantavam como ele,
Feel free to do so now, cuz he's dead	Sintam-se livres de fazê-lo agora, porque ele está morto
Using, using, using, the using takes toll	Drogar-se, drogar-se, drogar-se, drogar exige um preço pra pagar
Isolation, just so happy to be one	Isolamento, apenas muito feliz por estar por conta própria
Sad to, sad to think, sad to think of him more	Triste, triste de se pensar, triste pensar nele mais
Lonesome friend, we all knew	Amigo solitário, todos nós sabíamos
Always hoped you'd pull through	Sempre tivemos a esperança de que você conseguiria.
No blame, no blame, no blame, it could be you	Sem culpa, sem culpa, sem culpa, podia ser você
Using, you can't grow old using	Drogar-se, você não pode envelhecer drogando-se
Leash	Coleira
Troubled souls unite	Almas desoladas, unam-se
We got ourselves tonight	Temos a nós mesmos esta noite, oh
I am fuel, you are friends, we got the means to make amends	Eu sou combustível, vocês são amigos, nós temos os meios para fazer emendas
I am lost, I'm no guide, but I'm by your side	Eu estou perdido, eu não sou nenhum guia, mas eu estou ao seu lado
I am right by your side	Eu estou bem aqui ao seu lado, yeah
Young lover I stand	Com uma jovem amante eu estou
It was their idea, I proved to be a man	Foi ideia deles, eu provei ser um homem
Take my fucking hand	Pegue a porra da minha mão
It was their idea, I proved to be a man	Foi ideia deles, eu provei ser um homem
Will myself to find a home, a home within myself	Me dedico a achar uma casa, uma casa dentro de mim
We will find a way, we will find our place	Nós acharemos um modo, nós acharemos nosso lugar
Drop the leash, drop the leash	Largue a coleira, largue a coleira
Get outta' my fuckin' face	Saia da minha frente, porra
Drop the leash, we are young	Largue a coleira, nós somos jovens
Oh, get outta' my fuckin' face	Saia da minha frente, porra
Drop the leash, drop the leash	Largue a coleira, largue a coleira
Get outta' my, my	Saia da minha, minha
Landslide	Desmoronamento
I took my love,and I took it down	Peguei meu amor, trouxe para baixo
I climbed a mountain and I turned around	Escalei uma montanha e olhei pra trás
And I saw my reflection in the snow covered hills	E eu vi o meu reflexo em uma colina coberta por neve
'Till the landslide brought me down	Até o desmoronamento trazê-la abaixo
Oh, mirror in the sky	Espelho no céu
What is love?	o que é o amor?
Can the child within my heart rise above	Pode a criança dentro do meu coração subir aí?
Can I sail thru the changing ocean tides	Posso eu velejar pelas mutantes marés oceânicas?
Can I handle the seasons of my life	Posso eu suportar as estações da minha vida?
Uh-uh I don't know	oh-oh eu não sei
Uh-uh	oh-oh
Well, I've been afraid of changing	Bem, eu tive medo de mudar
'Cause I've built my life around you	Porque construí minha vida ao seu redor
But time makes you bolder	O tempo te torna mais forte
Children get older	Até as crianças ficam mais velhas
I'm getting older too	Eu estou ficando mais velho, também
I've been afraid of changing	Bem, eu tenho tido medo de mudar
'Cause I built my life around you	Porque construí minha vida ao seu redor
But time makes you bolder	O tempo te torna mais forte
Children get older	Até as crianças ficam mais velhas
I'm getting older too	Eu estou ficando mais velho, também
I'm getting older too	Eu fico mais velho, também
Oh, take this love, take it down	Oh, Peguei meu amor, trouxe para baixo
Oh, if you climb a mountain and turn around	Oh, escalei uma montanha e olhei para trás
If you see my reflection in the snow covered hills	E se você ver o meu reflexo numa colina coberta por neve
Well the landslide will bring it down down	O desmoronamento já a trouxe abaixo abaixo
Just A Girl	Apenas Uma Menina
Thieves in the window	Ladrões na janela
Trouble down the hall	Problema no corredor
The resin white ceiling	O limite máximo de resina branca
Blood, dripping, flows	Sangue, gotejamento, os fluxos
Out on the front line	Para fora na linha da frente
Preachers sweep the earth	Preachers varrer a terra
Out on their backsides	Fora de seus traseiros
With nothing in common, with no problem	Com nada em comum, sem nenhum problema
She's just a girl...	Ela é apenas uma garota ...
Just...just a girl, yeah...	Apenas ... apenas uma garota, yeah ...
Just one time around	Apenas uma vez em torno
She has little chance to make good	Ela tem pouca chance de fazer bom
Distance of her lie	Distância de sua mentira
Decided in the woods	Decidido no bosque
Burning fires	Pegando fogo
She's led to police	Ela levou a polícia
This maid in progress	Esta empregada em andamento
Betrayin' your mother's need for a shelter	Traia a necessidade dê sua mãe para um abrigo
Oh, just a girl	Ah, só uma menina
Just...just a girl	Basta apenas uma garota ...
Just one time around	Apenas uma vez em torno
She had little chance to make good	Ela tinha poucas chances de fazer boas
Treats them now, she's young	Trata-los agora, ela é jovem
But it can be taken away	Mas ele pode ser retirado
Just one time around...can be taken away	Apenas uma vez em torno ... pode ser tirado
We all make mistakes	Todos nós cometemos erros
Hush my baby...don't you cry...	Cale-se meu bebê...não chore ...
You're my little alibi	Você é o meu álibi pouco
Oh baby, please...I need some sleep	Oh baby, por favor ... eu preciso dormir um pouco
Hmm, now be taking	Hmm, agora estar a tomar
Leaving Here	Saindo daqui
Hey fellas, have you heard the news?	Hey, caras, vocês ouviram a notícia? [Oh sim]
The women of this town are being misused.	As mulheres dessa cidade estão sendo maltratadas [Oh sim]
I've seen it all in my dreams last night.	Eu vi tudo isso nos meus sonhos na noite passada [Oh sim]
Girls leaving this town 'cause we don't treat 'em right.	As moças deixando a cidade porque não as tratávamos bem [Oh sim]
Well, I'll take a train... (take a train)	Elas vão pegar seu trem [pegar seu trem]
Fly by plane... (fly by plane)	Voar de avião [voar de avião]
They're getting tired, (getting tired)	Elas estão ficando cansadas [ficando cansadas]
They're sick and tired. (sick and tired)	Doentes e cansadas [doentes e cansadas]
All you fellas better change your ways.	Todos vocês caras, melhor mudarem seu modo de agir [Oh sim]
They're leaving this town in a matter of days.	Elas estão deixando a cidade em alguns dias [Oh sim]
Girls are good, you better treat 'em true.	Garotas são boas, é melhor que as tratem bem [Oh sim]
Seen fellas run around with someone new.	Eu vi caras andando por aí com alguém novo [Oh sim]
I'm getting tired... (getting tired)	Elas estão ficando cansadas [ficando cansadas]
Sick and tired... (sick and tired)	Doentes e cansadas [doentes e cansadas]
They're leaving here, (leaving here)	Elas estão saindo daqui, (saindo daqui)
All leaving here. (leaving here)	Todas saindo daqui. ( saindo daqui)
Are leaving here...yeah, yeah, yeah...	Elas estão saindo daqui, yeah, yeah, yeah,
Leaving here...been a while...	saindo daqui.. já faz um tempo...
The love of a woman is a wonderful thing.	O amor de uma mulher é uma coisa maravilhosa [Oh sim]
The way that we treat 'em is a trying shame.	O modo como nós a tratamos é uma vergonha horrível [Oh sim]
I'll tell you fellas, yeah, it won't be long.	Eu digo, caras, sim, não vai demorar muito [Oh sim]
Before these women, they all have gone.	Para todas essas mulheres terem ido embora [Oh sim]
They're getting tired... (getting tired)	Elas estão ficando cansadas [ficando cansadas]
Sick and tired... (sick and tired)	Doentes e cansadas [doentes e cansadas]
Well, I'll take a train... (take a train)	Elas vão pegar seu trem [pegar seu trem]
Fly by plane... (fly by plane)	Voar de avião [voar de avião]
They're leaving here...yeah, yeah, yeah...	Elas estão saindo daqui, yeah, yeah, yeah...
Leaving here...	Saindo daqui...
Leatherman	Homem de Couro
I know about a man to whom I may be related, he's leatherman.	Eu sei de um homem a quem eu possa ser parente, ele é o homem de couro.
Died a long time ago in the 1880's...leatherman, leatherman.	Morreu a muito tempo em 1880.. homem-couro, homem-couro
Covered with leather, but it was tight.	Corberto de couro, mas era apertado.
Underneath the moon in the woods at night...	Debaixo da lua na floresta à noite...
Makin' the rounds ten miles a day,	Fazendo rondas de dez milhas por dia,
Once a month they'd spot him, here's what they'd say...	Uma vez por mês eles o viam, e eis o que eles diziam...
"Here he comes, he's a man of the land.	"Lá vem ele, ele é um homem da tera.
He's leatherman. Smile on his face, an axe in his pack.	Ele é o homem-couro. Sorriso em seu rosto, um machado em sua mala
He's leatherman."	Ele é o homem-couro."
Comes out of the caves once a day to be fed.	Sai das cavernas uma vez por dia para ser alimentado.
Wasn't known to say but "Thanks for the bread."	Nunca foi visto falando senão "Obrigada pelo pão."
So modern day I walk my way, my jacket faded,	Então dias modernos eu ando em meu caminho, minha jaqueta murchou,
Just like a man of leather whom I may be related.	Assim como o homem de couro a quem eu posso ser parente.
Rolled a cigarette, but when he asked for a light,	Entreguei um cigarro, mas quando ele pediu por fogo,
I thought he'd be an animal, but so polite.	Eu pensei que ele seria um animal, mas tão educado.
Makin' the rounds ten miles a day.	Fazendo rondas de dez milhas por dia,
Once a month they'd spot him and here's what they'd say...	Uma vez por mês eles o viam, e eis o que eles diziam...
"Here he comes, he's a man of the land, he's leatherman.	"Lá vem ele, ele é um homem da tera.
Smile on his face, an axe in his hand.	Ele é o homem-couro. Sorriso em seu rosto, um machado em sua mão
He's leatherman."	Ele é o homem-couro."
Shake his hand he's leatherman.	Aperte sua mão ele é o homem-couro.
Bake some bread he's leatherman.	Faça um pão ele é o homem-couro.
Shame he's dead. I saw his bed,	Pena que ele esteja morto. Eu vi sua cama,
Let My Love Open The Door	Deixe Meu Amor Abrir A Porta
When people keep repeatin'	Enquanto as pessoas continuam repetindo
TThat you'll never fall in love	Que você nunca vai se apaixonar
Everybody keeps retreating	Todo mundo continua recuando
But you can't seen to get enough	Mas você não poderia dizer que fez o suficiente
Let my love open your door (X3)	Deixe meu amor abrir sua porta (x3)
To your heart	para o seu coração
Let my love open the door (X2)	Deixe meu amor abrir a porta (x2)
When everything feels all over	Quando todas as coisas parecerem acabadas
Everybody seems unkind	Todo mundo parece indelicado
I'll give you a four-leaf clover	Te darei um trevo de quatro folhas
Take all worries out of your mind	Tire todos os aborrecimentos da sua mente
Let my love open your door (X3)	Deixe meu amor abrir sua porta (x3)
To your heart	Para seu coração
Let my love open the door	Deixe meu amor abrir a porta
To your heart	Para seu coração
Let my love open the door	Deixe meu amor abrir a porta
Have the only key to your heart	Tenho a única chave para seu coração
I can stop you from fallin' apart	Eu posso te fazer parar de sofrer
Tried to say in my own way	Tentei dizer do meu próprio jeito
Somebody give me the chance to say	Alguem me deu a chance de dizer
Let my love open your door	Deixe meu amor abrir a sua porta
It's all I'm lookin' for	Isso é tudo que eu procuro
And erase yourself from misery	E te tirar da angústia
There's only one thing that's gonna set you free	Há apenas uma coisa que ira te libertar
"When tragedy befalls you	Quando problemas recaírem sobre você
Don't let it drag you down	Não deixe isso te aprisionar la em baixo
Love can cure your problems	O amor pode curar seus problemas
You're so lucky I'm around"	Você é tão sortuda por eu estar por perto
Let my love open your door (X3)	Deixe meu amor abrir sua porta (x3)
To your heart	Para seu coração
Let my love open the door	Deixe meu amor abrir a porta
To your heart	Para seu coração
Let my love open the door (X5)	Deixe meu amor abrir a porta (x5)
Oh...to your heart	Oh...para seu coração
Oh...baby,I know I said,I said,I said,I said,I said,I said...	Oh...querida, eu sei eu disse, eu disse, eu disse, eu disse, eu disse, eu disse...
...I said,I said,I said,I said,I said,I said...	...Eu disse, eu disse, eu disse, eu disse, eu disse, eu disse
Light Years	Anos-Luz
I've used hammers made out of wood	Eu usei martelos feitos de madeira
I have played games with pieces and rules	Eu joguei jogos com peças e regras
I undeciphered tricks at the bar, but now you're gone	Eu decifrei truques no bar, mas agora você se foi
I haven't figured out why	Eu não entendi porquê
I've come up with riddles and jokes about war	Eu propus enigmas e piadas sobre a guerra
I figured out numbers and what they're for	Eu entendi números e para o que servem
I've understood feelings and I've understood words	Eu entendi sentimentos e eu entendi palavras
But how could you be taken away?	Mas como você pôde ser levada embora?
And wherever you've gone and wherever we might go	E onde quer que você tenha ido e onde quer que possamos ir
It don't seem fair. Today just disappeared	Não parece justo. O hoje simplesmente desapareceu
Your light's reflected now. Reflected from apart	Sua luz é refletida agora. Refletida bem de longe
We were but stones. Your light made us stars	Nós éramos apenas pedras. Sua luz nos tornou estrelas
With heavy breath, awakened regrets	Com a respiração pesada, arrependimentos despertados
Back pages and days alone that could have been	Páginas passadas e dias sozinhos que poderiam ter sido
spent together but we were miles apart	Passados juntos, mas nós estávamos a milhas de distância
Every inch between us becomes light years now	Cada centímetro entre nós agora se torna anos-luz
No time to be void or save up on life	Sem tempo para ser vazio ou economizar a vida
Oh, you got to spend it all	Oh, você precisa gastar tudo
And wherever you've gone and wherever we might go	E onde quer que você tenha ido e onde quer que possamos ir
It don't seem fair. You seem to like it here	Não parece justo. O hoje simplesmente desapareceu
Your light's reflected now. Reflected from apart	Sua luz é refletida agora. Refletida bem de longe
We were but stones. Your light made us stars	Nós éramos apenas pedras. Sua luz nos tornou estrelas
And wherever you've gone and wherever we might go	E onde quer que você tenha ido e onde quer que possamos ir
It don't seem fair. Today just disappeared	Não parece justo. O hoje simplesmente desapareceu
Let The Records Play	Deixe Os Discos Tocarem
When the kingdom comes	Quando o reino vem
He puts his records on	Ele coloca seus discos
And with his blistered thumb hits play	E com seu polegar toca sucessos
Now with the volume up	Agora com o volume alto
He goes and fills his cup	Ele vai e enche seu copo
And lets the drummers drum take away	E deixa o tambor do baterista assumir
The pain	A dor
The pain	A dor
Breaking	Quebrando
Forsaken	Abandonado
What’s that you’re taken	O que é isso que está te levando?
Believing the feeling	Acreditando no sentimento
He lets the records play	Ele deixa o disco tocar
Should future dim	O futuro deve escurecer
The cigarette light’s in	O cigarro se acende
The vaporizer green light grim	A luz verde vaporizadora e sombria
And when the shot glass talks he goes to listens up	E quando o copo fala ele vai escutar
Until he’s nice and numb again	Até que ele fique legal e entorpecido outra vez
Again	Outra vez
Shaken	Abalado
The breaking	A quebra
Not one for faking	Ninguém para fingir
The reeling is healing	A tontura está melhorando
He lets the records play	Ele deixa o disco tocar
