Agitated	Agitado
I wish I was special	Eu queria ser especial
But I'm a creep, I'm a weirdo	Mas eu sou uma aberração, sou um esquisitão
What the hell am I doing here?	Que diabos estou fazendo aqui?
Con-science	Cons-ciência
I can't pretend	Eu não posso fingir
Choose how it ends	Escolher como acaba
You slipped away	Você desapareceu
Questions here to stay	Perguntas aqui para ficar
In fear	No medo
In sorrow	Na tristeza
In fear	No medo
In sorrow	Na tristeza
I can't pretend	Eu não posso fingir
Consumed by an ends	Consumido por um final
Try bend the rules	Tente entortar as regras
Rips out the cruels	Rasgar as pistas
In fear	No medo
In sorrow	Na tristeza
In fear	No medo
In sorrow	Na tristeza
I can't pretend	Eu não posso fingir
Choose how it ends	Escolher como acaba
You slipped away	Você desapareceu
Questions here to stay	Perguntas aqui ficaram
In sorrow	No medo
In fear	Na tristeza
In sorrow	No medo
In fear	Na tristeza
In fear	No medo
In sorrow	Na tristeza
Defector	Desertor
Free	Livre
Yeah, I'm free	Sim, estou livre
From your inciting	Das suas incitações
You can't brainwash me	A sua lavagem cerebral não funciona mais em mim
You've got a problem	Agora, você tem um problema
Free	Livre
Yeah I'm free	Sim, estou livre
From society	Da sociedade
You can't control me	Você não pode me controlar
I'm a defector	Eu sou um desertor
You think you're strong and you can't be broken	Você acha que é forte e que não pode ser quebrado
But your empire is dissolving	Mas o seu império está se dissolvendo
You thought, You thought I was weak	Você pensou, você pensou que eu fosse fraco
But you got it wrong	Mas você pensou errado
Look into my eyes	Olhe em meus olhos
I'm a defector	Eu sou um desertor
Free	Livre
Yeah, I'm free	Sim, estou livre
From your inciting	Das suas incitações
You can't brainwash me	A sua lavagem cerebral não funciona mais em mim
You've got a problem	Agora, você tem um problema
Free	Livre
Yeah I'm free	Sim, estou livre
From society	Da sociedade
You can't control me	Você não pode me controlar
I'm a defector	Eu sou um desertor
Your blood is blue and your mind turned green	Seu sangue é azul e a sua mente ficou verde
And your belly is all yellow	E a sua barriga está toda amarela
You believe your throne is too high to be overthrown	Você acha que seu trono é alto demais para ser derrubado
We'll watch it get razed	Nós vamos assistir ele ser arrasado
By a defector	Por um desertor
Free	Livre
Yeah, I'm free	Sim, estou livre
From your inciting	Das suas incitações
You can't brainwash me	A sua lavagem cerebral não funciona mais em mim
You've got a problem	Agora, você tem um problema
Free	Livre
Yeah I'm free	Sim, estou livre
From society	Da sociedade
You can't control me	Você não pode me controlar
I'm a defector	Eu sou um desertor
I'm a defector	Eu sou um desertor
Free	Livre
Yeah, I'm free	Sim, estou livre
From your inciting	Das suas incitações
You can't brainwash me	A sua lavagem cerebral não funciona mais em mim
You've got a problem	Agora, você tem um problema
Free	Livre
Yeah I'm free	Sim, estou livre
From society	Da sociedade
You can't control me	Você não pode me controlar
I'm a defector	Eu sou um desertor
We look for strength and assistance	Nós olhamos para a força e a assistência
Confident that with your help	Confiantes de que com a sua ajuda
Crazy Days	Dias Loucos
I cannot sleep	eu não consigo dormir
There's too much noise in my head	tem muito barulho na minha cabeça
I cannot sleep	Eu não consigo dormir
I wanna be in here instead	quero estar aqui apesar de tudo
When I look at you	quando eu olhar para você
I know that you will never let me down	eu sei que você nunca me decepcionará
So why don't you just get out	então, porque você simplesmente não dá o fora
I never thought that this could come to this	nunca pensei que isto pudesse chegar a esse ponto
I just wanna live my wedded bliss in peace now	eu só quero viver a alegria do meu casamento em paz agora
Could you not hear my shout	você não podia ouvir meu grito
But I can	mas eu posso
To my dismay	para o meu desânimo
You went away	você foi embora
I cannot sleep	eu não consigo dormir
There's too much noise in my head	há muito barulho na minha cabeça
When I look at you	quando eu olhar para você
I know that you will never let me down	eu sei que você nunca me decepcionará
So why don't you just get out	então, porque você simplesmente não dá o fora
I never thought that this could come to this	nunca pensei que isto pudesse chegar a esse ponto
I just wanna live my wedded bliss in peace now	eu só quero viver a alegria do meu casamento em paz agora
Dark Shines	Escuro Ilumina
Passing by you light up my darkest skies	Passando por você ilumina meus céus mais escuros
You'll take only seconds to draw me in	Você só levará segundos para me atrair
So be mine and your innocence I will consume	Seja minha e sua inocência eu consumirei
Dark shines	Escuridão brilha
Bringing me down	Me levando á baixo
Making my heart feel sore	Fazendo meu coração sentir dor
Because it's good	Porque é bom
Hold your hands up to your eyes again	Segure suas mãos nos seus olhos novamente
Hide from the scary scenes, suppress your fears	Esconda-os das cenas assustadoras, suprima seus medos
So be mine and your innocence I will consume	Então seja minha e sua inocência eu consumirei
Dark shines	Escuro ilumina
Bringing me down	Me levando á baixo
Making my heart feel sore	Fazendo meu coração sentir dor
Because it's good	Porque é bom
You're dark shines	Você é o escuro iluminado
Bringing me down	Me levando á baixo
Dead Star	Estrela Morta
Shame on you	Se envergonhe
For thinking	Por pensar
You're an exception	Que você é uma exceção
We're all to blame	Nós somos todos culpados
Crashing down to Earth	Colidindo com a Terra
Wasting and burning out yeah	Desperdiçando e queimando
Fading like a dead star, woah woah	Apagando como uma estrela morta
Harm is cominng your way	Danos estão vindo á você
Yeah it's coming your way	Vindo á você
You used to be everything to me	E você costumava significar tudo pra mim
And now you're tired of fighting	E agora você está cansada de lutar
Tired of fighting,	Cansada de lutar
Fighting yourself	A si mesma
Shame on you	Se envergonhe
For thinking	Por pensar
You're all alone	Que você está completamente sozinha
If you want I'll make you wish you were	Se você quiser, farei você desejar estar só
Failing to impress	Falhando em impressionar
Why can't you sleep with	Porque você não pode dormir com
Someone who'll protect you, yeah	alguém que vai te proteger
Harm is comin your way	Danos estão vindo á você
Its coming your way	Vindo á você
You used to be everything to me	E você costumava significar tudo pra mim
And now your tired of fighting	E agora você está cansada de lutar
Tired of fighting, of fighting yourself	Cansada de lutar a si mesma
Yourself, yourself, yourself	Você mesma, Você mesma, Você Mesma.
Dead Inside	Morto Por Dentro
Revere a million prayers	Reverencie um milhão de orações
And draw me into your holiness	E me atraia para a sua santidade
But there's nothing there	Mas não há nada aí
Light only shines from those who share	A luz só brilha pra quem a compartilha
Unleash a million drones	Liberte um milhão de drones
And confine me then erase me, babe	Então me prenda e depois me apague, querida
Do you have no soul?	Você não tem alma?
It's like it died long ago	Parece que ela morreu á muito tempo
Your lips feel warm to the touch	Seus lábios são quentes ao toque
You can bring me back to life	Você pode me trazer de volta à vida
On the outside you're ablaze and alive	Por fora, você está radiante e viva
But you're dead inside	Mas está morta por dentro
You're free to touch the sky	Você é livre para tocar o céu
Whilst I am crushed and pulverised	Enquanto estou esmagado e pulverizado
Because you need control	Porque você precisa de controle
Now I'm the one who's letting go	Agora eu sou aquele que está se libertando
You like to give an inch	Você gosta de ceder um milímetro
Whilst I am giving infinity	Enquanto eu dou o infinito
But now I've got nothing left	Mas agora não me resta mais nada
You have no cares and I'm bereft	Você não se importa e eu estou desolado
Your skin feels warm to caress	Sua pele é quente ao acariciar
I see magic in your eyes	Vejo mágica em seus olhos
On the outside you're ablaze and alive	Por fora, você está radiante e viva
But you're dead inside	Mas está morta por dentro
Feel me now	Me sinta agora
Hold me, please	Me abrace, por favor
I need you to see who I am	Preciso que você veja quem eu sou
Open up to me	Se abra para mim
Stop hiding from me	Pare de se esconder de mim
It's hurting, babe	Está machucando, querida
Only you can stop the pain	Só você pode parar a dor
Don't leave me out in the cold	Não me deixe aqui fora no frio
Don't leave me out to die	Não me deixe aqui fora pra morrer
I gave you everything	Eu te dei tudo
I can't give you anymore	Não posso te dar mais
Now I've become just like you	Agora me tornei exatamente como você
My lips feel warm to the touch	Meus lábios são quentes ao toque
My words seem so alive	Minhas palavras parecem tão vivas
My skin is warm to caress	Minha pele é quente ao acariciar
I'll control and hypnotise	Vou controlar e hipnotizar
You've taught me to lie without a trace	Você me ensinou a mentir sem nenhum vestígio
And to kill with no remorse	E a matar sem remorso
On the outside	Por fora
Crying Shame	Vergonha Lamentável
Too late	Tarde demais,
Yeah baby it's too late	Sim, querida, é tarde demais
And time has made the spell obey	E o tempo fez o feitiço se cumprir
And now it's trying to desicrate	E agora isso está tentando se profanar
But we had a dream	Mas nós tínhamos um sonho
And it was meant to be	Que deveria se realizar
And we are kissing gods	E nós beijávamos deuses
Against all the odds	Contra as probabilidades
Now it's a crying shame	Agora isso é uma vergonha lamentável
Well it's a crying shame	Bem, isso é uma vergonha lamentável
You don't know who to blame	Você não sabe quem culpar
Will never be the same	Nunca vai ser a mesma coisa
And it's a crying shame	E isso é uma vergonha lamentável
Too much	Demais
And we demolished too much	Nós demolimos demais
An yeah we really fucked it up	E sim, nós realmente fodemos com isso
An yeah baby you lost your touch	É, querida, você perdeu seu toque
But we had a dream	Mas nós tínhamos um sonho
And it was meant to be	Que deveria se realizar
And we are kissing gods	E nós beijávamos deuses
Against all the odds	Contra as probabilidades
Now it's a crying shame	Agora isso é uma vergonha lamentável
Well it's a crying shame	Bem, isso é uma vergonha lamentável
You don't know who to blame	Você não sabe quem culpar
Will never be the same	Nunca vai ser a mesma coisa
Dig Down	Cave Mais Fundo
When hope and love has been lost	Quando a esperança e o amor estiverem perdidos
And you fall to the ground	E você cair ao chão
You must find a way	Você deve encontrar um caminho
When the darkness descends	Quando a escuridão cair
And you're told it's the end	E te disserem que é o fim
You must find a way	Você deve encontrar um caminho
When God decides to look the other way	Quando Deus decidir dar as costas
And a clown takes the throne	E um palhaço assumir o trono
We must find a way	Nós devemos encontrar um caminho
Face the firing squad	Enfrente o pelotão de fuzilamento
Against all the odds	Desafiando todas as probabilidades
You will find a way	Você vai encontrar um caminho
Dig down	Cave mais fundo
Dig down	Cave mais fundo
Dig down and find faith (faith)	Cave mais fundo e encontre a fé (fé)
When you're close to the edge	Quando você estiver à beira do abismo
With a gun to your head	Com uma arma apontada para sua cabeça
You must find a way	Você deve encontrar um caminho
When friends are thin on the ground	Quando os amigos forem poucos
And they try to divide us	E eles tentarem nos separar
We must find a way	Nós devemos encontrar um caminho
We have entered the fray	Nós entramos na briga
And we will not obey	E nós não vamos obedecer
We must find a way, yeah	Nós vamos encontrar um caminho, sim
Dig down	Cave mais fundo
Dig down	Cave mais fundo
Dig down and find faith	Cave mais fundo e encontre a fé
When they've left you for dead (dig down)	Quando te deixarem pra morrer (cave mais fundo)
And you can only see red (dig down)	E você só puder ver o ódio (cave mais fundo)
You must find a way	Você deve encontrar um caminho
Dig down (dig down)	Cave mais fundo (cave mais fundo)
Dig down	Cave mais fundo
Dig down, find faith (faith)	Cave mais fundo, encontre a fé (fé)
We won't let them divide (dig down)	Nós não vamos deixar eles nos dividirem (cave mais fundo)
We will never abide (dig down)	Nós nunca vamos nos render (cave mais fundo)
We will find a way (dig down)	Nós vamos encontrar um caminho (cave mais fundo)
(Dig down)	(Cave mais fundo)
(Dig down)	(Cave mais fundo)
(Dig down)	(Cave mais fundo)
(Faith)	(Fé)
(Dig down)	(Cave mais fundo)
Do We Need This?	Do We Need This? (Tradução)
Too many young and too many old	Muitos jovens demais e muitos velhos demais
Too many people left you in the cold	Muitas pessoas te deixaram no frio
You want everything to change	Você quer que tudo mude
Cause you are afraid of losing	Porque você está com medo de perder
She only exists when she's on a screen	Ela só existe quando está em uma tela
He's only alive inside a machine	Ele só é vivo dentro de uma máquina
We want everything to change	Nós queremos que tudo mude
Cause we are afraid of losing	Porque nós estamos com medo de perder
Tell me do you really need this	Me fale que você realmente precisa disto
Tell me do you really care	Me fale que você realmente se importa
Tell me do you really need this	Me fale que você realmente precisa disto
Tell me do you really care	Me fale que você realmente se importa
I don't think you really need this	Eu não acho que você realmente precise disto
I don't think you really care	Eu não acho que você realmente se importe
I don't think you really need this	Eu não acho que você realmente precise disto
I don't think you really care	Eu não acho que você realmente se importe
Too many young and too many old	Muitos jovens demais e muitos velhos demais
To many people trapped in your mould	Muitos encurralados no seu molde
But we want everything to change	Mas nós queremos que tudo mude
Drill Sergeant	Sargento
If you do not do what you're told to do when you're told to do it	Se você não fizer o que eu mandar, na hora que eu mandar
You will be punished, do you understand?	Você vai ser punido. Você entendeu ?
(Aye, sir)	(Sim, senhor)
If you leave my base without proper authorization, I will hunt you down and throw your ass in jail	Se você deixar a minha base sem a devida autorização, eu vou te caçar e jogar sua bunda na cadeia
Do you understand?	Você entendeu?
(Aye, sir)	(Sim, senhor)
I can't hear you!	Eu não posso te ouvir!
(Aye, sir!)	(Sim, senhor!)
Scream it!	Grite!
Drones	Drones
Killed by drones	Morto por drones
My mother, my father	Minha mãe, meu pai
My sister and my brother	Minha irmã e meu irmão
My son and my daughter	Meu filho e minha filha
Killed by drones	Morto por drones
Our lives between your fingers	Nossas vidas entre os dedos
Can you feel anything?	Você pode sentir alguma coisa?
Are you dead inside?	Você está morto por dentro?
Easily	Facilmente
Let your inhibitions go	Liberte-se de suas inibições
Make every touch electrical	Que seja elétrico cada toque
When you're feeling beautiful	Quando estiver se sentindo linda
Will you remember me?	Você se lembrará de mim?
I wanna touch you deep inside	Quero tocá-la bem no fundo
And find the secrets that you hide	Desvendar os segredos que você esconde
When your fears are cast aside	Quando seus medos se esvaírem?
Will you remember me?	Você se lembrará de mim?
Easily forgotten love	Amor facilmente esquecido
Easily forgotten love	Amor facilmente esquecido
It's not so easily	Não é tão fácil assim
I just want to let you know	Eu só quero que você saiba
My mind refuses to let you go	Que minha mente não me deixa esquecê-la
I wanna hypnotise you	Eu quero hipnotizá-la
So you remember me	E você se lembrará de mim
Easily forgotten love	Amor facilmente esquecido
Easily forgotten love	Amor facilmente esquecido
It's not so easily	Não é tão fácil assim
Easily forgotten love	Amor facilmente esquecido
Easily forgotten love	Amor facilmente esquecido
Emergency	Emergência
Declare this an emergency	Declare isso uma emergência
Come on and spread a sense of urgency	Venha e espalhe o senso de urgência
To pull us through	Para nos fazer atravessar
And pull us through	E atravessar
This is the end	Isso é o fim
This is the end	Isso é o fim
Walk away	Vá embora
It's time we saw a miracle	É tempo no qual vimos um milagre
Come on it's time for something biblical	Vamos lá, é hora de algo bíblico
To pull us through	Para nos fazer atravessar
And pull us through	E atravessar
This is the end	Isso é o fim
This is the end	Isso é o fim
Walk away	Vá embora
Declare this an emergency	Declare isso uma emergência
Come on and spread a sense of urgency	Venha e espalhe o senso de urgência
To pull us through	Para nos fazer atravessar
And pull us through	E atravessar
This is the end	Isso é o fim
Endlessly	Eternamente
There's a part in me you'll never know	Há uma parte em mim você nunca saberá
The only thing I'll never show	A única coisa que eu nunca vou mostrar
Hopelessly, I'll love you endlessly	Desesperadamente, eu vou amar você eternamente
Hopelessly, I'll give you everything	Desesperadamente, eu te darei tudo
But I won't give you up	Eu não vou desistir de você
I won't let you down	Eu não vou deixar você para baixo
And I won't leave you falling	E eu não vou deixar você cair
If the moment ever comes	Se o momento algum dia chegar
It's plain to see it's trying to speak	É fácil de ver que está tentando falar
Cherished dreams forever I sleep	Com sonhos acalentados sempre durmo
Hopelessly, I'll love you endlessly	Desesperadamente, eu vou amar você eternamente
Hopelessly, I'll give you everything	Desesperadamente, eu te darei tudo
But I won't give you up	Mas eu não vou desistir de você
I won't let you down	Eu não vou deixar você para baixo
And I won't leave you falling	E eu não vou deixar você cair
If the moment ever comes	Mas o momento nunca chega
Hopelessly, I'll love you endlessly	Desesperadamente, eu vou amar você eternamente
Hopelessly, I'll give you everything	Desesperadamente, eu te darei tudo
But I won't give you up	Mas eu não vou desistir de você
I won't let you down	Eu não vou deixar você para baixo
Escape	Escapar
You would say anything	Você diria qualquer coisa
And you would try anything	E você faria qualquer coisa
To escape your meaningless	Para escapar da sua falta de sentido
And your insignificance	E sua insignificância
You're uncontrollable	Você é incontrolável
And we are unloveable	E nós somos impossíveis de amar
And I don't want you to think that I care	E eu não quero que você pense que me importo
I never would, I never could again	Eu nunca iria, eu nunca poderia de novo
Why can't you just love her?	Por que você não pode amá-la?
And why be such a monster?	E por que ser um monstro?
You bully from a distance	Você intimida de uma distância
Your brain needs some assistance	Seu cérebro precisa de uma assistência
But I'll still take all the blame	Mas eu ainda levo toda a culpa
'Cause you and me are both one and the same	Porque você e eu somos um e o mesmo
And it's driving me mad	E isso está me enlouquecendo
And it's driving me mad	E isso está me enlouquecendo
I'll take back all the things that I said	Eu vou pegar de volta tudo que eu disse
I didn't realise I was talking to the living dead	Eu não percebi que eu estava falando com os mortos-vivos
But I don't want you to think that I care	Mas eu não quero que você pense que me importo
I never would, I never could again	Eu nunca iria, eu nunca poderia de novo
You would say anything	Você diria qualquer coisa
And you would try anything	E você faria qualquer coisa
Eternally Missed	Eternally Missed (Tradução)
Chase your dreams away	Corra atrás de seus sonhos
Glass needles in the hay	Procure agulhas no palheiro
The sun forgives the clouds	O sol perdoa as nuvens
You are my holy shroud	Voce é a minha neblina sagrada
I just don't care if it's real	Eu simplesmente não ligo se é real
That won't change how it feels	Isso não vai mudar como eu me sinto
I just don't care if it's real	Eu simplesmente não ligo se é real
That won't change how it feels	Isso não vai mudar como eu me sinto
No it doesn't change	Não, isso não muda
And you can't resist	E você não consegue resistir
Making me feel eternally missed	Me fazendo sentir saudades eternamente
And you can't resist	E você não consegue resistir
And you can't resist	E você não consegue resistir
Making me feel	Me fazendo sentir
Chase your dreams away	Corra atrás de seus sonhos
Glass needles in the hay	Procure agulhas no palheiro
The sun forgives the clouds	O sol perdoa as nuvens
You are my holy shroud	Voce é a minha neblina sagrada
And I just don't care if it's real	Eu simplesmente não ligo se é real
That won't change how it feels	Isso não vai mudar como eu me sinto
I just don't care if it's real	Eu simplesmente não ligo se é real
That won't change how it feels	Isso não vai mudar como eu me sinto
No it doesn't change	Não, isso não muda
And you can't resist	E você não consegue resistir
Making me feel eternally missed	Me fazendo sentir saudades eternamente
You can't resist	E você não consegue resistir
You can't resist	E você não consegue resistir
Making me feel	Me fazendo sentir
You can't resist	E você não consegue resistir
Making me feel eternally missed	Me fazendo sentir saudades eternamente
You can't resist	E você não consegue resistir
You can't resist	E você não consegue resistir
Making me feel	Me fazendo sentir
You can't resist	E você não consegue resistir
Making me feel eternally missed	Me fazendo sentir saudades eternamente
And you can't resist	E você não consegue resistir
Exo-politics	Exo-política
Open the skies over me	Abra os céus sobre mim
I am waiting patiently	Estou esperando pacientemente
I'll wait for a sign	Vou esperar por um sinal
As conspiracies unwind	Enquanto conspirações se espalham
Will you slam shut or free your mind	Você irá fechar ou abrir sua mente
Or stay hypnotised?	Ou permanecer hipnotizado?
When the zetas fill the skies	Quando os zetas ocuparem os céus
Will our leaders tell us why?	Irão nossos líderes nos dizer o porquê?
Fully loaded satellites	Satélites fortemente armados
Will target nothing but our minds	Não conquistarão nada além de nossas mentes
Well, I'm waiting patiently	Bem, estou esperando pacientemente
Well, I'll wait for the sign	Bem, vou esperar pelo sinal
Carried through the centuries	Arrastado por séculos
Secrets locked up	Segredos bem guardados
And loaded on my back	E atirados nas minhas costas
Well, it weighs me down	Bem, isso pesa em mim
When the zetas fill the skies	Quando os zetas ocuparem os céus
It's just our leaders in disguise	São apenas os nossos líderes disfarçados
Fully loaded satellites	Satélites fortemente armados
Will target nothing but our minds	Não conquistarão nada além de nossas mentes
Well, I'm waiting patiently	Bem, estou esperando pacientemente
Well, I'll wait for the sign	Bem, vou esperar pelo sinal
Exogenesis: Symphony, Pt. 1: Overture	Exogenesis: Sinfonia, Pt. 1: Abertura
Aping my soul,	Imitando minha alma
You stole my overture,	Você roubou minha abertura
Trapped in God's program,	Preso no programa de Deus
Oh I can't escape	Oh eu não posso escapar
Who are we?	Quem somos nós?
Where are we?	Onde nós estamos?
When are we?	Quando nós estamos?
Why are we?	Por que nós estamos?
Who are we?	Quem somos nós?
Where are we?	Onde nós estamos?
Why, why why?	Por que? Por que? Por que?
I can't forgive you,	Eu não posso te perdoar
And I can't forget	E eu não posso esquecer
Who are we?	Quem somos nós?
Where are we?	Onde nós estamos?
Exogenesis: Symphony, Pt. 3: Redemption	Exogenesis: Sinfônia, Pt 3 : Redenção
Let's start over again	Vamos recomeçar novamente
Why can't we start it over again?	Por que não podemos recomeçar novamente?
Just let us start it over again!	Apenas vamos recomeçar novamente!
And we'll be good	E nós ficaremos bem...
This time we'll get it	Desta vez nós faremos isso...
Exogenesis: Symphony, Pt. 2: Cross-Pollination	Exogenesis: Sinfonia, Parte 2: Polinização Cruzada
Rise above the crowd,	Levante-se acima da multidão
And wade through toxic clouds,	E avance em direção às nuvens tóxicas
Breach the outer sphere,	Viole a esfera externa
The edge of all our fears,	O começo de todos os nossos medos
Rest with you,	Jaz em você
We are counting on you,	Estamos contando com você
It's up to you	Cabe a você
Spread our codes to the stars,	Espalhe nossos códigos às estrelas
You must rescue us all,	Você deve resgatar a todos nós
Spread our codes to the stars,	Espalhe nossos códigos as estrelas
You must rescue us all,	Você deve resgatar a todos nós
Tell us,	Conte-nos
tell us your final wish?	Conte-nos seu último desejo
Now we know you can never return,	Agora nós sabemos que nunca poderemos retornar
Tell us,	Conte-nos
Explorers	Exploradores
Once I hoped	Uma vez desejei
To seek the new and unknown	Buscar o novo e desconhecido
This planet’s overrun	Este planeta está devastado
There’s nothing left for you or for me	Não resta nada para você ou para mim
Don’t give in, we can	Não sucumba, nós podemos
Walk through the fields	Caminhar pelos campos
And feeling nature’s glow	E sentir o brilho da natureza
But all the land is owned	Mas toda a terra está possuída
There’s none left for you or for me	Não resta nada para você ou para mim
Who will win?	Quem vencerá?
‘Cause I concede	Porque eu admito
Free me	Liberte-me
Free me	Liberte-me
Free me from this world	Liberte-me deste mundo
I don’t belong here	Eu não faço parte daqui
It was a mistake imprisoning my soul	Foi um erro aprisionar minha alma
Can you free me	Você pode libertar-me?
Free me from this world	Liberte-me deste mundo
A world lush and blue	Um mundo exuberante e azul
With rivers running wild	Com rios correndo selvagens
They’ll be re-routed south	Eles serão redirecionados ao sul
With none left for you or for me	Nada restando a você ou a mim
Don’t give in	Não sucumba
Hear the engines roar	Ouça os motores rugirem
And save our crops from drought	E salve nossas colheitas da seca
But when the black gold’s in doubt	Mas quando o petróleo estiver incerto
There’ll be none left for you or for me	Não restará nada para você ou para mim
Fuse helium-3, our last hope	Dissipe hélio-3, nossa última esperança
Free me	Liberte-me
Free me	Liberte-me
Free me from this world	Liberte-me deste mundo
We don’t belong here	Nós não fazemos parte daqui
It was a mistake imprisoning our souls	Foi um erro aprisionar nossas almas
Can you free me	Você pode libertar-me?
Free me from this world	Liberte-me deste mundo
Free me	Liberte-me
I’ll free you	Eu libertarei você
Free us from this world	Liberte-nos deste mundo
We don’t belong here	Nós não fazemos parte daqui
It was a mistake imprisoning our souls	Foi um erro aprisionar nossas almas
Can you free me	Você pode libertar-me?
Free me from this world	Liberte-me deste mundo
Running around in circles feeling caged	Correndo em círculos sentindo-me enjaulado
by endless rules	Por regras sem fim
Falling Down	Caindo
I'm falling down	Eu estou caindo
And fifteen thousand people scream	E 15.000 pessoas gritam
They were all begging for your dream	Eles estavam todos implorando por seu sonho
I'm falling down	Eu estou caindo
Five thousand houses burning down	5.000 casas queimando
No-one is gonna save this town	Ninguém salvará essa cidade
Too late	Tarde demais
I already found what I was looking for	Eu já encontrei o que procurava
You know it wasn't you	Você sabe que não era você
No it wasn't you	Não, não era você
I was calling your name	Eu estava chamando seu nome
But you would never hear me sing	Mas você nunca me ouviria cantar
You wouldn't let me begin	Você não me deixaria começar
So I'm crawling away	Então eu estou rastejando para longe
'Cause you broke my heart in two	Porque você partiu meu coração em dois
No, I will not forget you	Não, eu não vou te esquecer
Too late	Tarde demais
I already found what I was looking for	Eu já encontrei o que procurava
You know it wasn't you	Você sabe que não era você
No, it wasn't you	Não, não era você
No ...	Não...
Falling away	Caindo
You would never see me through	Você nunca veria através de mim
No, I could not forget you	Não, eu não poderia te esquecer
Falling down	Caindo
Five thousand house burning down	5.000 casas queimando
No-one is gonna save this town	Ninguém salvará essa cidade
Too late	Tarde demais
I already found what I was looking for	Eu já encontrei o que procurava
You know it wasn't you	Você sabe que não era você
No, it wasn't you	Não, não era você
No	Não
Falling down	Caindo
Falling Away With You	Me Distanciando de Você
I can't remember when it was good	Não consigo lembrar quando foi bom
Moments of happiness elude	Os momentos de felicidade eram ilusão
Maybe I just misunderstood	Talvez eu tenha apenas entendido mal
All of the love we left behind	Todo o amor que nós deixamos pra trás
Watching the flashbacks intertwine	Assistindo aos flashbacks que se misturaram
Memories I will never find	Algumas lembranças eu nunca encontrarei
So I'll love whatever you become	Então te amarei, não importa o que você se torne
Forget the reckless things we've done	Esqueça das coisas bobas que nós fizemos
I think our lives have just begun	Eu acho que nossas vidas estão apenas começando
I think our lives have just begun	Eu acho que nossas vidas estão apenas começando
And I'll feel my world crumbling out	E eu sentirei meu mundo se desmoronar
I'll feel my life crumbling out	Sentirei minha vida se desmoronar
I'll feel my soul crumbling away	Sentirei minha alma se desmanchar
And falling away	E se distanciar
Falling away with you	Se distanciar de você
Staying awake to chase the dream	Ficando acordado para perseguir o sonho
Tasting the air you're breathing in	Provando do ar que você está inspirando
I hope I won't forgot a thing	Eu espero não esquecer de nada
I wish to hold you close and pray	Eu desejo te abraçar forte e rezar
Watching the fantasies decay	Assistindo nossas fantasias morrerem
Nothing will ever stay the same	Nada nunca será o mesmo
And all of the love we threw away	E todo o amor que nós jogamos fora
And all of the hopes we cherished fade	E todas as esperanças que nós cultivamos se apagam
Making the same mistakes again	Cometendo os mesmo erros novamente
Making the same mistakes again	Cometendo os mesmo erros novamente
And I'll feel my world crumbling out	E eu sentirei meu mundo se desmoronar
I'll feel my life crumbling out	Sentirei minha vida se desmoronar
I'll feel my soul crumbling away	Sentirei minha alma se desmanchar
And falling away	E se distanciar
Falling away with you	Se distanciar de você
All of the love we left behind	E todo o amor que nós deixamos pra trás
Watching the flashbacks intertwine	Assistindo aos flashbacks que se misturaram
Falling With the Crowd	Falling With the Crowd (Tradução)
So I will close my ears to the falling with the crowd	vou fechar meus ouvidos para a queda da multidão
I never thought of her	nunca pensei nela
I listen to your air	eu ouvi oar
Try to shout and I will smile	experimente gritar e eu vou sorrir
You can hear, hear your infectious laugh	você pode ouvir, escutar seu sorriso infeccioso
But you can't hear me ring the bell	mas você não pode me ouvir tocar a campainha
You can hear, hear you singing along to this	você pode ouvi cantar ao longo do presente
And pretending not to hear me shout	e finge não me ouvir gritar
Too many heard	muitos ouvidos
So I will close my ears to the falling with the crowd	então vou fechar meus ouvidos para a queda da multidão
I never thought of her	nunca pensei nela
I listen to your air	eu ouvi o ar
Try to shout and I will smile	experimente gritar e eu vou sorrir
I never thought of her	nunca pensei nela
(Falling with the crowd)	(caindo com a multidão)
Here's to my mistake	aqui está o meu erro
(Falling with the crowd)	(caindo com a multidão)
I wanna go home	quero ir para casa
Dressed by no one else	vestidas como mais ninguém
Doesn't matter cause I'm not that sure	não importa porque eu não estou certo de que
To aware of whats been done before	ter consciencia do quefoi feito antes
You can hear, hear you singing along to this	você pode ouvir cantar ao longo do presente
And pretending not to hear me shout	e finge não me ouvir gritar
You know its true	você sabe o seu verdadeiro
So I will close my ears to the falling with the crowd	então vou fechar meus ouvidos para a queda com a multidão
I never thought of her	nunca pensei dela
I listen to your air	eu ouvi o ar
Try to shout and I will smile	experimente gritar e eu vou sorrir
I never thought of her	nunca pensei nela
(Falling with the crowd)	(caindo com a multidão)
Dressed my breath to live	preciso da minha respiração para viver
I wanna go home	quero ir para casa
Follow Me	Siga-me
When darkness falls	Quando a escuridão cai
And surrounds you	E te rodeia
When you fall down	Quando você cair
When you're scared	Quando estiver assustado
And you're lost. Be brave	E estiver perdido. Seja corajoso
I'm coming to hold you now	Estou vindo pra te proteger agora
When all strength has gone	Quando toda força partir
And you feel wrong	E você sentir-se mal
Like your life has slipped away	Como se sua vida estivesse desequilibrada
Follow me	Siga-me
You can follow me	Você pode me seguir
And I, I will not desert you now	E eu, eu não irei te abandonar agora
When your fire's died out	Quando sua chama extinguir-se
No one's there	Ninguém esta lá
They have left you for dead	Eles te deixaram para morrer
Follow me	Me siga
You can follow me	Você pode me seguir
I will keep you safe	Eu vou mante-lo seguro
